hecho_id,n_victimas,fecha,tipo_calle,calle,altura,cruce,direccion,comuna,lat,lon,participantes,victima,acusado
2016-0001,1,2016-01-01 04:00:00-01:00,AVENIDA,PIEDRA BUENA AV.,,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-34.68757022,-58.47533969,MOTO-AUTO,MOTO,AUTO
2016-0002,1,2016-01-02 01:15:00-01:00,GRAL PAZ,"PAZ, GRAL. AV.",,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-34.66977709,-58.50877521,AUTO-PASAJEROS,AUTO,PASAJEROS
2016-0003,1,2016-01-03 07:00:00-01:00,AVENIDA,ENTRE RIOS AV.,2034.0,,ENTRE RIOS AV. 2034,1,-34.63189362,-58.39040293,MOTO-AUTO,MOTO,AUTO
2016-0004,1,2016-01-10 00:00:00-01:00,AVENIDA,LARRAZABAL AV.,,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-34.68092974,-58.46503904,MOTO-SD,MOTO,SD
2016-0005,1,2016-01-21 05:20:00-01:00,AVENIDA,SAN JUAN AV.,,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-34.6224663,-58.38718297,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0008,1,2016-01-24 18:30:00-01:00,AVENIDA,27 DE FEBRERO AV.,,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-34.68475866,-58.44451316,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0009,1,2016-01-24 19:10:00-01:00,CALLE,NOGOYA,,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,-34.6082544,-58.50095869,MOTO-AUTO,MOTO,AUTO
2016-0010,1,2016-01-29 15:20:00-01:00,GRAL PAZ,"PAZ, GRAL. AV.",,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-34.66977709,-58.50877521,MOTO-AUTO,MOTO,AUTO
2016-0012,1,2016-02-08 01:20:00-01:00,AVENIDA,BELGRANO AV.,,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-34.61303893,-58.38048577,MOTO-CARGAS,MOTO,CARGAS
2016-0013,1,2016-02-10 11:30:00-01:00,AVENIDA,ENTRE RIOS AV.,1366.0,,ENTRE RIOS AV. 1366,1,-34.62477387,-58.39114932,PEATON-AUTO,PEATON,AUTO
2016-0015,1,2016-02-14 05:14:00-01:00,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",,VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-34.59912758,-58.4376002,PEATON-AUTO,PEATON,AUTO
2016-0016,1,2016-02-14 22:00:00-01:00,AVENIDA,REGIMIENTO DE PATRICIOS AV.,,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-34.64291993,-58.36882665,MOTO-AUTO,MOTO,AUTO
2016-0017,1,2016-02-15 16:54:00-01:00,AVENIDA,"ACOSTA, MARIANO",,"JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,-34.65970435,-58.44989671,PEATON-MOTO,PEATON,MOTO
2016-0019,1,2016-02-17 09:30:00-01:00,CALLE,"DE LA TORRE, LISANDRO",,"GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-34.65468721,-58.50990884,PEATON-PASAJEROS,PEATON,PASAJEROS
