Fecha_Inicial,Fecha_Fin,Latitud,Longitud,Comuna,Dia_Habil,Turno,Zona,Uso,Sexo,Casco_Conductor,Tipo_Distraccion,Cantidad_Ocupantes,Uso_Casco
2022-10-25 15:50:12,2022-10-25 15:53:06,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Particular,Masculino,Si,Celular,1,Si
2022-10-25 09:13:46,2022-10-25 09:15:57,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Femenino,Si,Celular,1,Si
2022-10-25 09:25:47,2022-10-25 09:30:36,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Ninguno,1,Si
2022-10-25 09:54:47,2022-10-25 09:55:08,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Ninguno,1,Si
2022-10-25 15:42:52,2022-10-25 15:44:02,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Particular,Masculino,Si,Ninguno,1,Si
2022-10-25 09:15:57,2022-10-25 09:16:23,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Celular,1,Si
2022-10-25 09:30:38,2022-10-25 09:31:16,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Comercial,Masculino,Si,Ninguno,1,Si
2022-10-25 09:55:08,2022-10-25 09:55:51,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Ninguno,2,Si
2022-10-25 15:44:03,2022-10-25 15:44:20,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Particular,Masculino,Si,Ninguno,1,Si
2022-10-25 15:53:06,2022-10-25 15:54:30,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Comercial,Masculino,Si,Fuma,1,Si
2022-10-25 09:16:23,2022-10-25 09:16:49,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Comercial,Masculino,Si,Celular,1,Si
2022-10-25 09:31:17,2022-10-25 09:32:57,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Celular,1,Si
2022-10-25 09:55:51,2022-10-25 09:56:10,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Ninguno,1,Si
2022-10-25 15:54:31,2022-10-25 15:55:29,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Particular,Masculino,Si,Ninguno,1,Si
2022-10-25 09:16:49,2022-10-25 09:18:58,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Ninguno,1,Si
2022-10-25 09:32:57,2022-10-25 09:34:01,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Comercial,Femenino,Si,Celular,1,Si
2022-10-25 09:56:10,2022-10-25 09:56:25,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Comercial,Masculino,Si,Ninguno,1,Si
2022-10-25 15:44:21,2022-10-25 15:45:49,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Particular,Femenino,Si,Ninguno,2,Si
2022-10-25 15:55:30,2022-10-25 15:55:48,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Particular,Masculino,Si,Celular,1,Si
2022-10-25 09:18:58,2022-10-25 09:19:24,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Celular,1,Si
2022-10-25 09:34:02,2022-10-25 09:34:53,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Femenino,Si,Ninguno,1,Si
2022-10-25 15:55:49,2022-10-25 15:56:42,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Particular,Femenino,Si,Ninguno,2,Si
2022-10-25 09:19:25,2022-10-25 09:19:44,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Ninguno,1,Si
2022-10-25 09:34:54,2022-10-25 09:36:03,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Celular,1,Si
2022-10-25 09:56:26,2022-10-25 09:57:01,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Celular,2,Si
2022-10-25 15:45:50,2022-10-25 15:46:41,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Particular,Masculino,Si,Celular,1,Si
2022-10-25 15:56:44,2022-10-25 15:57:05,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Particular,Masculino,Si,Ninguno,1,Si
2022-10-25 09:19:44,2022-10-25 09:20:17,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Celular,2,Si
2022-10-25 09:36:04,2022-10-25 09:37:02,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Celular,1,Si
2022-10-25 15:46:41,2022-10-25 15:47:05,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Particular,Masculino,Si,Ninguno,1,Si
2022-10-25 15:57:05,2022-10-25 15:57:32,-34.5915329,-58.4472785,14,Habil,Tarde,Occidente,Comercial,Masculino,Si,Ninguno,1,Si
2022-10-25 09:20:17,2022-10-25 09:20:30,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Celular,1,Si
2022-10-25 09:37:02,2022-10-25 09:37:42,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Femenino,Si,Fuma,1,Si
2022-10-25 09:57:02,2022-10-25 09:57:44,-34.5915329,-58.4472785,14,Habil,Mañana,Occidente,Particular,Masculino,Si,Ninguno,1,Si
