hecho_id,fecha_hecho,victima,rol,edad,sexo,fecha_fallecimiento,dias_fallecimiento
2016-0001,2016-01-01,MOTO,CONDUCTOR,19.0,MASCULINO,2016-01-01,0.0
2016-0002,2016-01-02,AUTO,CONDUCTOR,70.0,MASCULINO,2016-01-02,0.0
2016-0003,2016-01-03,MOTO,CONDUCTOR,30.0,MASCULINO,2016-01-03,0.0
2016-0004,2016-01-10,MOTO,CONDUCTOR,18.0,MASCULINO,,
2016-0005,2016-01-21,MOTO,CONDUCTOR,29.0,MASCULINO,2016-02-01,11.0
2016-0008,2016-01-24,MOTO,CONDUCTOR,30.0,MASCULINO,2016-01-24,0.0
2016-0009,2016-01-24,MOTO,PASAJERO_ACOMPAÑANTE,29.0,MASCULINO,2016-01-26,2.0
2016-0010,2016-01-29,MOTO,CONDUCTOR,18.0,MASCULINO,2016-01-29,0.0
2016-0012,2016-02-08,MOTO,CONDUCTOR,22.0,MASCULINO,2016-02-08,0.0
2016-0013,2016-02-10,PEATON,PEATON,16.0,MASCULINO,2016-02-10,0.0
2016-0015,2016-02-14,PEATON,PEATON,16.0,FEMENINO,2016-02-14,0.0
2016-0016,2016-02-14,MOTO,PASAJERO_ACOMPAÑANTE,19.0,FEMENINO,2016-02-14,0.0
2016-0017,2016-02-15,PEATON,PEATON,59.0,MASCULINO,2016-02-16,1.0
2016-0019,2016-02-17,PEATON,PEATON,65.0,FEMENINO,2016-02-17,0.0
2016-0020,2016-02-17,PEATON,PEATON,59.0,MASCULINO,2016-03-02,14.0
2016-0021,2016-02-17,AUTO,CONDUCTOR,34.0,MASCULINO,2016-02-17,0.0
2016-0022,2016-02-21,MOTO,PASAJERO_ACOMPAÑANTE,41.0,MASCULINO,,
2016-0025,2016-02-28,AUTO,PASAJERO_ACOMPAÑANTE,34.0,MASCULINO,2016-02-28,0.0
2016-0026,2016-02-28,AUTO,CONDUCTOR,30.0,MASCULINO,2016-03-04,5.0
2016-0027,2016-02-28,AUTO,PASAJERO_ACOMPAÑANTE,34.0,MASCULINO,,
